name,equipable_weapon,icon,wiki_url,attack_stab,attack_slash,attack_crush,attack_magic,attack_ranged,defence_stab,defence_slash,defence_crush,defence_magic,defence_ranged,melee_strength,ranged_strength,magic_damage,prayer,slot,attack_speed,weapon_type
Dragon javelin,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAAAw0lEQVR4Xu3VPQrCQBCG4cw50iyksPU8giDYWEk6ESwUNCg2SkCLRPAnaG75yRqMmk2wy0wxL0yxsMXDTiCe10qEYkREiFZjhGFfAoqQJPNy7LlrDBeKcEoX5bwxrKDLefma/W7C/zq3a4QsWyOOp9yvQ3jcN8jzLY6HGTfGRhgG5ucjZsUMAh894yumUoGxoxg3d1XVGy3mYhhBolb1weiq3HRVTdVjRIBEYOwf3I4YzKijmLpIMQ0p5l+iMEWiMNpXTydc8d2zS9fTAAAAAElFTkSuQmCC,https://oldschool.runescape.wiki/w/Dragon_javelin#Unpoisoned,0,0,0,0,0,0,0,0,0,0,0,150,0,0,ammo,,
Slayer cape,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAABcklEQVR4XtWXvYrCQBSFM89hE7BYCAhBCIssghZb2WzhO/gGPst2glZbWNnY+mSjZ4ab3FxjmIB3JnvgEB0ycz/P/CRmmZqMlS1vFAYfUsDYfDIZ2CdYfvAiywIL+Pt/Nht3f5nnAX0GyzCgV2n59iYZD6MEBBlbPaBQkBflINROIIowJGM/ptO6OBlt8KwoNKepS8YVhTkYfY4wTVLGzsvSflZVDcXhoqfzvVq5woDiQHL9yJ5KegbCldLBNRkQpgwwX4tFWqD1ctkCSp4QAREMX9CjAtrvtq2dJnsqyLhpQkGsI4KBAQNH3mndQNfL2d7OuXNSoL/DoTa+Aywp0On36EwwowHiSY0CiENFB8KpLBd131NfjvBGNengHOJnUB+QYkrPQAQzWiD++IgOxGFeAQFacR15oK50OBAHIyCllBogCfOvgNBHadr8a0coEIx2SkgtJQDhcITx68m05bmVYUjtf6p9jgDjRYVCLPuG6g6n1jvTmp020gAAAABJRU5ErkJggg==,https://oldschool.runescape.wiki/w/Slayer_cape#Untrimmed,0,0,0,0,0,9,9,9,9,9,0,0,0,0,cape,,
Crystal bow 3/10,True,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAABgUlEQVR4Xu2WbUvCUBiGPf/En9CPkCAocEijKCzGDFnLtaZzc2TT5UszkUTMWB+qTwVBEUjQn7vLLRUOfSionUN4wQPj8IxzcZ+XLZFY8D8goEcYQiDnFHAiRbCzmwtllpLJsOiOGCFYE7P8yGhaCQWzNhOiO2KGoOr5yGQ2+RGyqg10Lwa8CE0gGA4voSg6Pyes17tAvXXOV0puw0e15vGT0mRzl45P+UrJcDwYZZtKiWliBHu6g+2s/ClFIArC7JnujgmC9XQaeUnCynIKnbMedL0M142Wk+6OiWkiBKpqQMrlsSWKbPdXNDFBsViBrNlQDw22QnOipDTLhWk7LJdtzjStitvCSZ2bu2oCgdfuou1Ht/q8mEIQBAFGoyvIsgJBiDY7Y7Hog1xrdj6uBCsUS61mWIsR9PsD2G4ThbIbnsYNaZ8S+6r+FIJW28f49Q1PL2M8PD7j5vYewfUdSqaDI8OCpps4KBShqDryihaP1E8qlv/26STfLfr9BQt+g3edJxH78QoUzwAAAABJRU5ErkJggg==,https://oldschool.runescape.wiki/w/Crystal_bow_(historical)#3/10,0,0,0,0,72,0,0,0,0,0,0,56,0,0,2h,5,bow
Ruby dragon bolts,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAAA/ElEQVR4Xu2WsQrCQAyGmzdw6uJScCgUCkUQkSJYpIjoIOji6Obg4iCiIoiKiyA6Cbo5+46/xAMLnZzaf+gH4TjI8JFc7s6yCjJHYIICwbFiY+WUGKQED6+Mq2t/pXQfOE6eUoJ7J8A58n4yOQoJnt0Al7bPIKMIbrGPXegytEoRrBouFvUKj9C618IkrDIICU7DDuZxyHN+doM2pq06Q3UUwbLb5KlOul3pjIwx7RrXkvsnnZExhO0iGXVFsO1HLNVRhGvU3+8XRtXkZU9nZIiR0afisN/kLWRkNPTu0TVnIcX8mWdRg0XIsoyAqRaFUALNyCdQyRQUFPzBBztKr7Ry1FLsAAAAAElFTkSuQmCC,https://oldschool.runescape.wiki/w/Ruby_dragon_bolts,0,0,0,0,0,0,0,0,0,0,0,122,0,0,ammo,,
Dragon pickaxe (or),True,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAACc0lEQVR4Xt2WwUvcQBTG8/6DPXnJJbCHhcBCCIQgy8KKyCKKVJTKKkq1VPegwiJCW3oo9FBKTz2UHkQQ2osglEIvPXgQCqUUivf+Ma/zzeQl2Wxtq81kpR88FjZr3s9vvnkzjvN/i7j4TabfPbMi4v1+n3/dmLi3vHzFMysijhxHNx24taTxcG2trenPwPNsQWXN5msOt1XNTk/zoVfjHQW1NOHomu92U3cAYwmIeGdzUzdenzDNZxKge6s9Xl9Z4Ttzc2lZhhGRbr6loHoKSlyCG3cXF3UtLSxUB4PmM52OBkBjcUMgpCzDjOYGAOII4Ha3t/nxwUE1ME+DxkhuAITM4Dk+AfRwMEiBim8pScSrnsvPQp9fRj6/ipv8ZjLg41aYmy9m1iDsFbgDEd+vezzw6/yk2eDnCg4ACPbHwNP5QaYebGzYdkdkgozaa3j8SEEB5kg5BccA+SWu66oICDJhRnYk0ADDMsIxgP1oNfhbAlX8awsiM31zUMgVHAMM3HrbDvmsE/P3FMo6WLb14yjSuyr/HZx6HRuwy8k6f7XvFmlH+qou32V5MZkhPbXlHEOdd1v8OTLPim8qQcSe6/L7Fy6fqC1/2olSoPxvpLC0gPowFfNFuVCmAQ5PTGQZhMPuZMo7hqzBNSzlKPyNRDzVbqfXCIGRpn9uYMAx3T+FpbhEeuDlj4i/A8kkbuFmUIJLZjeJS//2wuv/MwURh0GgYZCfEl6YuHUtZbuk6fulwtxApJcFEFgmHJgV3IevEqWXLClxagwwIrNMctEaOwxOblzEfDXM8kDFX1Yg4sPk4pUP9RjdgYYhxgxjdCsgbpt+AhUH8zrxSIQCAAAAAElFTkSuQmCC,https://oldschool.runescape.wiki/w/Dragon_pickaxe_(or),38,-2,32,0,0,0,1,0,0,0,42,0,0,0,weapon,5,pickaxe
Armadyl chaps,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAACW0lEQVR4Xu2Xy05TURSGOW/CmISkMSGOGPAOTAwJCSRGBkokiFi5pCIiAobKpVya2kKBSm0pbSgFsUK52KgHBzqQSzS+yQ//OuyqJzgh6d4TVrLStU9ycr6s/a9LKyqurSxm4XI3YhbepVJYiUYxNzWF8aEhPOvpxu3GRhNQFgobOeQSCcQjEYQmJvCyvx+P29txq75egDyVlTqhLGTfxgXEPziIp11deHDvLpobGnCzpsYM0Fp8WbIzuZgtXRfj1pYWPGpr03ltFrazWextbiIQWxenhiZHhgXo4f1W3Glq0pklRz/p7UPEXofEKW7+LgRnxaurqvQC7W9tIZW3BYLCDq/uYDkcFhhel2YdWfh5fCRZIQS1lJifFz0poLraWr1Av06OS5lZXVwQIHp0ZlqqrrezUy/Q79NTvM9kBIiZIQwbJIFmX/nx3NerF8g+2MdObl1ACMVnzNRSrijNUcFoA/paLErZh1Y+iPNZOraE6NoBujs6dGZHmYWP+TyCScd5zryJYS6zZw7oU8EpdboCoo54jTc8HnnmfquM5uiIH2eH5pnlHxwb+6fCNGbJ0RGFPDow8F8g91tlNgdCVRmnP2Of12sOiACRdEEAVMxVxBgQAVhZf8dcQwwAnU98+4doiP3nxRNfKdbcpZVZ+GZ/EQAOVA5Txpz+hoBoF83wfDlTMXsSs2UMSKosEBAAxgQa7uszB7SRTMqiz/jzbkEmP/99GAXiusGYjZKjQzVKI0DcGqf9owLw/dCWa+OCZgyIu7XSkDpzfBgCojkgfwap+2zA3B93n69qZ9qMfj2pB38zAAAAAElFTkSuQmCC,https://oldschool.runescape.wiki/w/Armadyl_chaps,0,0,0,-10,17,31,25,33,28,31,0,0,0,1,legs,,
Vesta's longsword,True,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAABAklEQVR4XmNgGAWjgBBg/I8uMkAA5BDG/zt2rAXT6LJ0Boz/29vr/u/auR6MQXwDBYWBchR2xwyQg0YdgwuMOgYXGHUMLgBxzNatq0YdgwZGHYMLjDoGFxh1DDqANKpAuKKicOAdM2NC3v/Vi6vBjlm8aAYYD5hjetvS/i+fX/F/44qG/9vXNv+fPXvSQDkGBBj/J8e5/89OCv+/d2vn/8M7e/+fOjAR7iB01XQAjP9zU6P+F6THYjhmABwEcUx6Qtj/4qw4eKIeAMdALEZ3DMwhdHfMro1t/9cuqcHqGHTVdACM/9cvr/t/4ej0/xePzx5ox8AAohAcBI6BgAFKLygAAKS2dcOr0sWfAAAAAElFTkSuQmCC,https://oldschool.runescape.wiki/w/Vesta's_longsword,106,121,-2,0,0,1,4,3,0,0,118,0,0,0,weapon,5,slash_sword
Yellow flowers,True,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAADY0lEQVR4Xu2W20tUURTG3X/HvBw4DwM+SSAyyIAi8yBJCIlhYphhCl4wQpIKSSqpECKIIOwiWpmmmZcsMfFSMlgyWFKWpnRBRESqv2DFt7Z77zPHMZrOeHlowWLmnFlnr9/+1rePJiX9j38OQTL3RAha/u6nlWX/H6B2DFgwCHJ1RQG5mwv6sZ7M6b6/udZzSCAotLaaTAvzfpr7YFNk2tbNfv2UMPgd1ymWxZ+oU5lAKDOu9bVk+vbVT0uf/TT/UYIpdQCDGgX1ZcnP8KhDGlDPIVX4FAnR4rsQzU1n0cxkJr2ftWkqbFQCDGBnw1m0MBPS14AHWIKABDcd6LNoejyDIi8zKTySQZPDQW40+9amW80+hoMKUAU1gAK0Gq+C8QgkeMHwpE19TywaGwzSyEA6DfUEOAEDqNERi968trluajRDpwIHbII8JLghFAJQ78M0enw/jbraZJ5tOabHpXJiKMjphIdy2BjAEgKFfDFsUU+3j1ru+nhEuFdxOZ8a2ssc3hA03CchBrsDegNO4ISMDTubidg8oq5OH6sFT+G3E9cOO4Bk/dBzi2vUKPFsAmDMrp49lYvjOz5fTVjsFzTDvVM3izdq5XP4HXUAwbgwdpw2UxN3CN4hQPB9fMxiP7BRNwyuFEKWNuRSXfNRfQ0QBYtTh6y5WqBVcnf7ixDsFwBht/ADvKFMCkCMxTSQfqpvLdVQKtNzUqiwNpuhPQAhzKIwJ0D6OwNs0o6WVJeZZb3TT8YvgvKrQ1R8JkerFN0nrpBA6pg/uJNKHe1SOZi7sbvSoYasr71RFKOpoCN1+6nswkEvKsnTgubwC0DaWn0aCCOFma/0VtP5jnINhtFEm1yuFczdRyX1B7yoJBgEBkZzgKgEEO6jCfyB8V3qqdJjhJ9O3y7ZBIWxlTfmeVMJowEEoFQqNVRmFwXYP039NXTxUQXfgxLn7h13QAnKzEtlBT2ohIhurnbnNi4yrzKL/5yoMZ68Xqjr1VowOBSMvh9nuAFiLaTAoBYawvDwjDG5UQpj86hSPGHUgrnRHC9NJ1ioII2qmg5tcSK3IZxjhGfQHKN0n0aPb+/4wwmmTG8ApPGVn9zPbnMI9lMsk6vrHVPJhOA3tfuluUswKrZ6ae5qSO+Y/wz2ROyqd2JHPDC/AUcRmNr2hCw2AAAAAElFTkSuQmCC,https://oldschool.runescape.wiki/w/Yellow_flowers,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,weapon,4,blunt
Chompy bird hat,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAABxUlEQVR4Xu2W30dEURDHO/9EL+flsg/LfervSiI9JIlKspJEWmmXNpuy2URFYpNllaSULSu9JNJDkqTnaWbOzu3+2Ice9p69dL8M955z1nzMfM/c7etLlSpVqr9KQXilh1LgzJ1CgqAQaLbGQAOOkwQoBJo+SgqQgsziBThThwkCWm2BntjrANQTTynIll9Bj1dDQMqDDJ6PRf4kCtzdb9BjlShQZC0WKa8a8u5Wv0ItwzYuXYIeLdsBkpkjyQkoaGoEWjgHPVy0A5RZvokCzRy3q4ae2ngBJ1eH/sG8HaDs+lMUCAGobeQb2pdBaQXI3fkEPbTmJSQgahEHjoBs4ZF9JoByzkTXhRUqPZtkGM7kvgEiE6NnqDoEJQDUSvIXnYtpDKCH8vfcIkpCyahiNK0ZFmdS2PQeXDzT3NygzErTS+RWPnhNnqWdktgPRs9dBiKZWaRHSgZi+52rJc9hIK5Oez8GGJIp/2YxZzyCN0pmjrv1FjA8w7f9FisQJTg5KBjD4l+Pu6sagzHkfIN9xLC45//OxQREUnB9ZtpA0bqt8xX3X3d5twAj+r1JD81GoE3+sARj5DeuJO4UwV9ZUs8S/2v9ADxvqidELTgLAAAAAElFTkSuQmCC,https://oldschool.runescape.wiki/w/Chompy_bird_hat_(ogre_bowmaster),0,0,0,0,0,0,0,0,0,0,0,0,0,0,head,,
Polar camo legs,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAACRElEQVR4Xu2W4VLTQBDHyZvwCL6no37RyoAKNNDaUmibtpSSZEothWlxHNQPPs7K745NMpCoM/ROP7gzO83c3XR/2f3vXjY2/psTC6TavVke9PnLN/K69l5qW7uytRPK9rsDiZNLmc6ufUEF8nZ7X8LmiTTafTlo9ow3PvalF8UyGk9lcJoa5+yzzU2XUIF0++fGCa4+GKUGpAjUG8R+gMaTmaTTK5nEcxv8Dub07MKsAwQsQMe9Mz9AyXRhNAIQIDjPrBWBOt2xH6A4tTAAaGaSdGGypkB4qzOUvbDtWtiBTJK5gcAB0o66+LTMNAVQ+3gk9cOOnyyhnWJ2ZvOVXF59lmiYZFBoiE70AgSIagggQFjnV6G60bkZC16AKBMgCqQdReYUqnMyluZR5AcIAReBWkdDE5hnxgBAQCJsL0AIWIHICpOa9W/ffxggHCBvrQ+Qtj2B9+ra3oHRFkCm9e8z5xWIO2znQyMDYo+saet7AdJykR2A8qCBXC+/ZPcaQLr/8F/WaHZalwPd799lT8tWD50PRzuHyEIVEGXjDN22u99yCWRLQjAywKzRDisCMbUZDWRR9eUMSCc0b49GwsOy6yEw1wngjkuWAyFa2ro8oM0SWuIMn7is5ftrsxwIwTbbUSUQpaVsnHNYNnttaBehIQ30EGh18zWbSUC/eFVzlyW+f9AHGap+87xsRZ2Vn32SBTJf3BigXwcJZLm6NfDlwl+r2WuiGkbNwj8eDQ7s9zCYFffj4flX7U+z6dH+KZin2E/aBWAHYD0L+QAAAABJRU5ErkJggg==,https://oldschool.runescape.wiki/w/Polar_camo_legs,0,0,0,0,-7,11,10,10,0,10,0,0,0,0,legs,,
